from,to,status,reason
/orthopaedic-surgeon/dr-douglas-hay,/specialists/dr-douglas-hay,301,live listing
/orthopaedic-surgeon/dr-edward-dawe,/specialists/dr-edward-dawe,301,live listing
/orthopaedic-surgeon/dr-jasdeep-giddie,/specialists/dr-jasdeep-giddie,301,live listing
/orthopaedic-surgeon/dr-jo-anne-dartnell,/specialists/dr-jo-anne-dartnell,301,live listing
/orthopaedic-surgeon/dr-kash-akhtar,/specialists/dr-kash-akhtar,301,live listing
/orthopaedic-surgeon/dr-keith-bush,/specialists/dr-keith-bush,301,live listing
/orthopaedic-surgeon/dr-nicholas-howells,/specialists/dr-nicholas-howells,301,live listing
/orthopaedic-surgeon/dr-pierre-nasr,/specialists/dr-pierre-nasr,301,live listing
/orthopaedic-surgeon/dr-shafic-al-nammari,/specialists/dr-shafic-al-nammari,301,live listing
/orthopaedic-surgeon/dr-vivekanandan-dhukaram,/specialists/dr-vivekanandan-dhukaram,301,live listing
